translatedText,detectedSourceLanguage,input
oppure usa il pulsante &quot;Nuovo&quot;.,de,"oder benutzen Sie die Schaltfläche ""Neu"""
cartelle condivise,de,freigegebene Ordner
Raccoglitore,de,Ordner
File condivisi,de,Freigegebene Dateien
File,de,Dateien
Nome,en,Name
Tipo,sv,Typ
Grossa,en,Grösse
Creato,de,Erstellt am
nome della cartella,de,Name des Ordners
abortire,de,abbrechen
creare,de,erstellen
seleziona il ruolo,de,Rolle auswählen
seleziona una persona specifica,de,bestimmte Person auswählen
Nessuna persona aggiunta,de,Keine Person hinzugefügt
Scegli tra quelli esistenti,de,Wählen Sie aus den vorhandenen
Trascina e rilascia i file su questo campo per caricarli su:,de,"Dateien auf dieses Feld ziehen und loslassen, um sie hochzuladen auf:"
mio disco,de,Mein Laufwerk
caricamento,de,Hochladen
Caricamenti completati,de,Upload(s) abgeschlossen
Errore durante il caricamento del file,de,Fehler beim Hochladen der Datei
Nuova cartella,de,Neuer Ordner
Cartella creata correttamente,de,Ornder erfolgreich erstellt
Creazione cartella non riuscita. Per favore riprova pi� tardi.,de,Die Erstellung des Ordners ist fehlgeschlagen. Versuchen Sie es später noch einmal.
Rinominare,de,Umbenennen
Rinominare,de,Umbenennen
file condiviso,de,freigegebene Datei
rinominato con successo,de,erfolgreich umbenannt
rimosso con successo,de,erfolgreich entfernt
Errore durante il download del file,de,Fehler beim Hertunterladen der Datei
Qualcosa � andato storto. Per favore riprova,de,Etwas hat nicht geklappt. Bitte nochmals versuchen
Organizzazione,fr,Organisation
Seleziona l&#39;organizzazione a cui desideri essere assegnato,de,"Bitte wählen Sie die Organisation, der Sie zuweisen möchten"
"Carica, gestisci e condividi documenti.",de,"Dokumente hochladen, verwalten und freigeben."
"Carica, gestisci, condividi documenti",de,"Dokumente hochladen, verwalten, freigeben"
file,de,Datei
"Per favore, dai un nome alla tua cartella",de,Bitte geben Sie Ihrem Ordner einen Namen
rimosso con successo,de,erfolgreich entfernt
rinominato con successo,de,erfolgreich umbenannt
Nessun documento,de,Keine Dateien
massimo Dateigröße überschritten,fr,maximale Dateigröße überschritten
Il tipo di file non � supportato,de,Dateityp wird nicht unterstützt
seleziona organizzazione,de,Organisation auswählen
seleziona organizzazione,de,Organisation auswählen
selezionare i membri,de,Mitglieder auswählen
Nessun file o cartella selezionata,de,Keine Datei oder kein Ordner ausgewählt
Assegnato a,de,zugewiesen an
Visualizza dettagli,de,Details anzeigen
file,de,Datei
Informazioni,fr,Infos
creato da,de,erstellt von
utenti autorizzati,de,berechtigte Benutzer
Gestione dei dispositivi,de,Geräte-Bewirtschaftung
Cerca per posizione o dispositivo,de,Suche nach Standort oder Gerät
Filtro,en,Filter
Aggiungi gestioni di dispositivi e posizioni,de,"Hinzufügen, Verwaltungen von Geräten und Standorten"
Aggiorna i dispositivi,de,Geräte aktualisieren
Aggiungi dispositivo,is,Gerät hinzufügen
Aggiungi luogo,de,Standort hinzufügen
Posizioni,de,Standorte
Seleziona la posizione per vedere l&#39;elenco dei dispositivi,de,"Bitte wählen Sie den Standort aus, um die Geräteliste zu sehen"
Dispositivi,is,Geräte
Mostra tutti i dispositivi della posizione selezionata,de,Zeigt alle Geräte des ausgewählten Standortes
Nome,en,Name
aggiungere altro,de,weitere hinzufügen
scartare,de,verwerfen
hinzuf�gen,en,hinzufügen
Aggiungi dispositivo,is,Gerät hinzufügen
Aggiorna i dispositivi,de,Geräte aktualisieren
Inserisci le informazioni necessarie per aggiungere il dispositivo,de,Bitte die notwendigen Informationen für das Hinzufügen des Gerätes eingeben
Nome del luogo,de,Name des Standorts
categoria,de,Kategorie
sottocategoria,de,Unter-Kategorie
tema,de,Thema
Produttore,de,Hersteller
Informazioni aggiuntive,de,zusätzliche Informationen
Si prega di aggiungere i campi obbligatori per questo dispositivo,de,Bitte fügen Sie die erforderlichen Felder für dieses Gerät hinzu
campo aggiuntivo,de,zusätzliches Feld
titolo,de,Titel
descrizione,de,Beschreibung
Aggiungi un altro campo,de,Ein weiteres Feld hinzufügen
Si prega di selezionare la data di installazione,de,Bitte wählen Sie das Installationsdatum
Data,de,Datum
dettagli del contatto,de,Kontaktdaten
Contattare per la manutenzione,de,Kontakt für Wartung
Indirizzo e-mail,da,E-Mail Adresse
Telefono,tr,Telefon
Osservazioni,de,Bemerkungen
Organizzazione,fr,Organisation
Aggiornare,de,aktualisieren
creato,de,erstellt am
Dettagli,en,Details
Manutenzione,de,Wartung
Eigentümer,en,Eigentümer
Posizione,de,Standort
data di installazione,de,Datum der Installation
Ultima manutenzione,de,Letzte Wartung
Prossima manutenzione,de,Nächste Wartung
Aggiungi file,de,Datei hinzufügen
foto,de,Bild
nessuna manutenzione programmata,de,keine Wartung geplant
Non � prevista alcuna manutenzione per questo dispositivo.,de,Für dieses Geräte ist noch keine Wartung vorgesehen.
pianificare la manutenzione,de,Wartung planen
Si prega di fornire le informazioni necessarie per aggiornare la manutenzione,de,"Bitte geben Sie die notwendigen Informationen an, um die Wartung zu aktualisieren"
appuntamento di manutenzione,de,Wartungstermin
persona responsabile,de,Verantwortliche Person
mostra tutta la manutenzione programmata,de,zeigt alle geplanten Wartungen
Responsabile,de,Verantwortlich
Salva sul computer,de,Speichern
Nessun dispositivo trovato per questa posizione,de,Keine Geräte für diesen Standort gefunden
persona responsabile,de,Verantwortliche Person
Mostra tutte le persone responsabili della manutenzione,de,Zeigt alle für die Wartung verantwortlichen Personen
fornitore,de,Lieferant
numero di serie,de,Seriennummer
data di acquisto,de,Kaufdatum
E,fi,Ja
No,de,Nein
azienda,de,Unternehmen
Referente,sv,Kontaktperson
Organizzazione,fr,Organisation
segna come fatto,de,als erledigt markieren
Contrassegnare la manutenzione come completata una volta completata,de,"Bitte markieren Sie die Wartung als abgeschlossen, sobald sie abgeschlossen ist"
Dettagli di manutenzione,de,Details zur Wartung
Data pianificata,de,Geplantes Datum
Data di presentazione,de,Übermittlungsdatum
Nessun documento ancora aggiunto,de,Noch keine Dokumente hinzugefügt
Documenti,de,Dokumente
Data di messa in servizio,de,Datum der Inbetriebsetzung
Applicare filtri,de,Filter anwenden
Aborto,de,Abbrechen
Scarica rapporto,de,Bericht herunterladen
Redazione di un rapporto elenco attrezzature in corso,de,Erstellung eines Ausrüstungslistenberichts in Arbeit
Scarica il rapporto sull&#39;elenco delle apparecchiature,de,Bericht zur Ausrüstungsliste herunterladen
Impossibile creare un rapporto sull&#39;elenco delle apparecchiature,de,Erstellung eines Ausrüstungslistenberichts fehlgeschlagen
copia,de,kopieren
Nome del dispositivo,is,Gerätename
modificare,de,bearbeiten
l�schen,en,löschen
Informazioni aggiuntive,de,zusätzliche Informationen
categoria,de,Kategorie
Referente,sv,Kontaktperson
Data,de,Datum
E-Mail,it,E-Mail
Ultima manutenzione,de,Letzte Wartung
Stato,en,Status
Stato,en,Status
Posizione,de,Standort
Manutenzione,de,Wartung
manutenzione da parte di,de,Wartung durch
Produttore,de,Hersteller
Nome,en,Name
Prossima manutenzione,de,Nächste Wartung
Organizzazione,fr,Organisation
Telefono,tr,Telefon
la messa in produzione,de,Inbetriebssetzung
data di acquisto,de,Kaufdatum
Osservazioni,de,Bemerkungen
nome del rapporto,de,Berichtsname
numero di serie,de,Seriennummer
sottocategoria,de,Unterkategorie
fornitore,de,Lieferant
in sospeso,ca,pendent
fatto,de,erledigt
Creato,de,Erstellt
ultimo aggiornamento,de,letzte Aktualisierung
Modulo,en,Module
Crea e gestisci moduli,de,Module erstellen und verwalten
moduli di ricerca,de,Module suchen
"Cerca i moduli per nome, oggetto e scopo",de,"Suche Module nach Namen, Thema und Zweck"
Filtro,en,Filter
Modulo hinzuf�gen,ro,Modul hinzufügen
Nome,en,Name
tema,de,Thema
scopo,de,Zweck
creato,de,erstellt am
scartare,de,verwerfen
salvare,de,speichern
salva modulo,de,Modul speichern
Costruisci il tuo modulo,de,Erstellen Sie Ihr Modul
scopo del modulo,de,Zweck des Moduls
sottogruppo,de,Untergruppe
qualificazione,de,Qualifizierung
Si prega di determinare il grado di adempimento,de,Bitten bestimmen Sie den Erfüllungsgrad
domanda,de,Frage
Tipo di domanda,sv,Fragetyp
descrizione,de,Beschreibung
Didascalia (a sinistra),de,Beschriftung (links)
didascalia (a destra),de,Beschriftung (rechts)
Testo di risposta breve,de,Kurzer Antworttext
segna la risposta corretta,de,richtige Antwort markieren
Opzione hinzuf�gen,en,Option hinzufügen
gruppo principale,de,Hauptgruppe
a partire dal,de,von
Vuoi davvero eliminare?,de,Wollen Sie wirklich löschen?
E,fi,Ja
No,de,Nein
modulo di aggiornamento,de,Modul aktualisieren
Aggiorna il tuo modulo,de,Aktualisieren Sie Ihr Modul
Numero massimo di file,de,Maximale Anzahl von Dateien
Massimo Dateigr�sse,fr,maximale Dateigrösse
formati di file consentiti,de,erlaubte Dateiformate
Aggiungi file,de,Datei hinzufügen
Si prega di selezionare prima lo scopo,de,Bitte wählen Sie zunächst den Zweck
abortire,de,abbrechen
Applicare filtri,de,Filter anwenden
categoria,de,Kategorie
Nome della categoria,de,Name der Kategorie
Nome della sottocategoria,de,Name der Unterkategorie
livello di categoria,de,Kategorie-Ebene
sottocategoria,de,Unter-Kategorie
Organizzazione,fr,Organisation
fino a,de,bis
Organizzazione,fr,Organisation
Grande,en,Gründe
Attivazione dell&#39;account riuscita,de,Konto-Aktivierung erfolgreich
Clicca qui sotto per accedere,de,unten Klicken um einzulogen
Login,en,Login
Attivazione scaduta,de,Aktivierung abgelaufen
accedere di nuovo,de,nocheinmal einloggen
Inserire la password,de,Passwort eingeben
parola d&#39;ordine,de,Passwort
"La password deve essere lunga almeno 6 caratteri. Deve contenere una lettera maiuscola, una lettera minuscola, un carattere speciale e una cifra",de,"Das Passwort muss mindestens 6 Zeichen lang sein. Muss einen Grossbuchstaben, einen Kleinbuchstaben, ein Sonderzeichen und eine Ziffer enthalten"
Conferma password,de,Passwort bestätigen
inserire la stessa password,de,das gleiche Passowrt eingeben
attivare,de,aktiveren
APP_PLATFORM_LOGIN_CENTER.TYPE_OPTION_MESSAGE,en,APP_PLATFORM_LOGIN_CENTER.TYPE_OPTION_MESSAGE
Per favore accedi al tuo account,de,Bitte loggen Sie sich in Ihr Konto ein
Caldo benvenuto!,de,Herzlich willkommen!
APP_PLATFORM_LOGIN_CENTER.TYPE_SIGNUP,en,APP_PLATFORM_LOGIN_CENTER.TYPE_SIGNUP
APP_PLATFORM_LOGIN_CENTER.EXTERNAL_LOGIN_OPTION,en,APP_PLATFORM_LOGIN_CENTER.EXTERNAL_LOGIN_OPTION
APP_PLATFORM_LOGIN_CENTER.LOGIN_OPTION,en,APP_PLATFORM_LOGIN_CENTER.LOGIN_OPTION
linguaggio,de,Sprache
Indirizzo e-mail,da,E-Mail Adresse
APP_PLATFORM_LOGIN_CENTER.EMAIL_INVALID,en,APP_PLATFORM_LOGIN_CENTER.EMAIL_INVALID
E-mail e/o password non corrispondono,de,E-Mail und/oder Passwort stimmen nicht überein
Marche,nl,merken
Ha dimenticato la password,de,Passwort vergessen
APP_PLATFORM_LOGIN_CENTER.EXTERNAL_LOGIN,en,APP_PLATFORM_LOGIN_CENTER.EXTERNAL_LOGIN
non chste,pt,nächste
Il codice a 2 fattori invia conferma,de,2 Faktor-Code schickt Bestätigung
codice di attivazione,de,Aktivierungscode
Il codice di attivazione inserito non � corretto,de,Der eingegebene Aktivierungscode ist nicht korrekt
avere problemi,de,haben Probleme
invia di nuovo,de,nochmals senden
verificare,de,verifizieren
Captcha non corrisponde,de,Captcha passt nicht
APP_PLATFORM_LOGIN_CENTER.FIRSTNAME,en,APP_PLATFORM_LOGIN_CENTER.FIRSTNAME
APP_PLATFORM_LOGIN_CENTER.LASTNAME,en,APP_PLATFORM_LOGIN_CENTER.LASTNAME
APP_PLATFORM_LOGIN_CENTER.USER_CREATE_FROM_PERSON_SELF_ACTIVATE,en,APP_PLATFORM_LOGIN_CENTER.USER_CREATE_FROM_PERSON_SELF_ACTIVATE
APP_PLATFORM_LOGIN_CENTER.FOLLOW_THE_LINK_IN_EMAIL,en,APP_PLATFORM_LOGIN_CENTER.FOLLOW_THE_LINK_IN_EMAIL
APP_PLATFORM_LOGIN_CENTER.CONTINUE,en,APP_PLATFORM_LOGIN_CENTER.CONTINUE
APP_PLATFORM_LOGIN_CENTER.NOT_ALLOWED_TO_SELF_SIGNUP_IN_THIS_SYSTEM,en,APP_PLATFORM_LOGIN_CENTER.NOT_ALLOWED_TO_SELF_SIGNUP_IN_THIS_SYSTEM
APP_PLATFORM_LOGIN_CENTER.USER_CREATE_FROM_PERSON_SUCCESS,en,APP_PLATFORM_LOGIN_CENTER.USER_CREATE_FROM_PERSON_SUCCESS
APP_PLATFORM_LOGIN_CENTER.GUEST_USER_CREATE_SUCCESS,en,APP_PLATFORM_LOGIN_CENTER.GUEST_USER_CREATE_SUCCESS
E-mail non trovata,de,E-Mail nicht gefunden
Resetta la password,de,Passwort zurücksetzen
Modifica password riuscita,de,Passwortänderung erfolgreich
Dettaglio richiesta modifica password,de,"Passwortänderungsanfrage, Detail"
Seleziona i profili,de,Profile auswählen
impostare la password,de,Passwort setzen
Zur�cksetzen,en,Zurücksetzen
connesso,de,eingeloggt
Reimpostazione password riuscita,de,Rücksetzung des Passwortes erfolgreich
Per favore accedi al tuo account.,de,Bitte loggen Sie sich in Ihr Konto ein.
Benvenuto in RiQS,de,Willkommen bei RiQS
Registrato,de,Angemeldet
Concordato,de,Einverstanden
in disaccordo,de,nicht einverstanden
Concordo,de,einverstanden
Accetto i termini e le condizioni generali,de,Ich akzeptiere die Allgemeinen Geschäftsbedingungen
Captcha,en,Captcha
Crea e gestisci gli ordini,de,Erstellen und Verwalten von Aufträgen
Stato,en,Status
attivo,de,aktiv
aggiungere altro,de,weitere hinzufügen
aggiungi un altro ordine,de,weiteren Auftrag hinzufügen
Tutti,de,Alle
fatto in modo diverso,de,auf anderem Weg erledigt
Applicare filtri,de,Filter anwenden
autorizzare,de,genehmigen
approvato,de,genehmigt
Confermato il completamento dell&#39;attivit�,de,Aufgabenerledigung bestätigt
assegnato il,de,zugewiesen am
assegnare l&#39;ordine,de,Auftrag zuweisen
Assegna ordine a,de,Auftrag zuweisen an
evitare i fine settimana,de,Wochenenden vermeiden
Aborto,de,Abbrechen
categoria,de,Kategorie
Nome della categoria,de,Kategoriename
cause,de,Ursachen
Organizzazione,fr,Organisation
Osservazioni,de,Bemerkungen
fatto,de,erledigt
Eredigungsstatus,no,Ereldigungsstatus
Crea e assegna ordine,de,Auftrag erstellen und zuweisen
Gruppo esecutivo,de,Ausführende Gruppe
Documento,mt,Dokument
persona responsabile,de,Verantwortliche Person
creare,de,erstellen
grado di adempimento richiesto,de,geforderter Erfüllungsgrad
Impatto/Rischio,de,Auswirkungen /Risiko
determinati dipendenti,de,bestimmte Mitarbeiter
Dettagli,en,Details
scartare,de,verwerfen
fatto,de,erledigt
Vuoi creare un altro ordine con le stesse impostazioni?,de,Wollen Sie einen weiteren Auftrag mit den gleichen Einstellungen anlegen?
F�lligkeit,pt,Fälligkeit
Notifica per email,de,E-Mail-Benachrichtigung
data di fine,de,Enddatum
Gestione dei dispositivi,de,Geräte-Bewirtschaftung
Evento/sviluppo dei fattori ambientali,de,Ereignis / Entwicklung von Umweltfaktoren
Filtro,en,Filter
Generale,de,Allgemein
la tua risposta,de,Ihre Antwort
Si prega di inserire le informazioni necessarie dell&#39;ordine,de,Bitte geben Sie die notwendigen Informationen des Auftrages ein
inattivo,sv,inaktiv
in corso,de,in Arbeit
Ultimo aggiornamento,de,Zuletzt aktualisiert
E-mail se non fatto,de,"E-Mail, wenn nicht erledigt"
Crea e gestisci gli ordini,de,Aufträge erstellen und verwalten
Contrassegna come attivit� ricorrente.,de,Als wiederkehrende Aufgabe markieren.
misure attuate,de,umgesetzte Massnahmen
membri,de,Mitglieder
"se cade nel fine settimana, spostalo al giorno lavorativo successivo",de,"wenn auf Wochenende fällt, auf den nächsten Arbeitstag verschieben"
Rinviare gli ordini non completati al giorno successivo,de,Nicht erledigte Aufträge auf den nächsten Tag verschieben
non chste,pt,nächste
prossimo ordine,de,nächster Auftrag
Ancora nessuna risposta,de,Noch keine Antwort
Nessun ordine aperto trovato,de,Keine offenen Aufträge gefunden
Auftr�ge,zh-CN,Aufträge
Übersicht,en,Übersicht
in sospeso,ca,pendent
percentuale,de,Prozentsatz
Si prega di definire il giorno del mese per la ripetizione,de,Bitte definieren Sie den Tag des Monats für die Wiederholung
Si prega di scegliere un programma,de,Bitte wählen Sie einen Zeitplan
Si prega di specificare come si desidera essere informati su questo ordine,de,"Bitte bestimmen Sie, wie Sie bei diesem Auftrag informiert werden möchten"
Si prega di selezionare la categoria,de,Bitte wählen Sie die Kategorie aus
Si prega di selezionare la categoria dell&#39;ordine,de,Bitte wählen Sie die Kategorie des Auftrages aus
Seleziona l&#39;organizzazione,de,Bitte wählen Sie die Organisation aus
Seleziona l&#39;organizzazione,de,Bitte wählen Sie die Organisation aus
Determina entro quando l&#39;ordine deve essere completato,de,"Bestimmen Sie, bis wann der Auftrag erledigt werden soll"
Si prega di indicare quando questo ordine deve essere ripetuto,de,"Bitte geben Sie an, wann dieser Auftrag wiederholt werden soll"
Seleziona l&#39;elenco delle attivit� dallo sviluppatore,de,Bitte wählen Sie die Aufgabenliste aus dem Entwickler aus
Si prega di selezionare l&#39;argomento,de,Bitte wählen Sie das Thema aus
ordine precedente,de,vorheriger Auftrag
riassegnare,de,neu zuweisen
riassegnato,de,neu zugewiesen
Ordine riassegnato,de,Auftrag neu zugewiesen
ripetizione,de,Wiederholung
riferimento,de,Referenz
Osservazioni,de,Bemerkungen
ripeti tutto,de,Wiederholung alle
Ripetere,de,Wiederholen am
ripetizione al giorno,de,Wiederholung am Tag
Riportare alle condizioni originali,de,Auf Standard zurücksetzen
Rispondere,de,Antwort
risposte,de,Antworten
Responsabile,de,Verantwortlich
Gestione del rischio,da,Risiko-Management
Pianificazione dell&#39;ordine assegnato in corso,de,Planung des zugewiesenen Auftrages in Bearbeitung
cerca lavoro,de,Auftrag suchen
Data d&#39;inizio,sv,Startdatum
Stato,en,Status
übermitteln,en,übermitteln
übermittelt,en,übermittelt
Invia risposta,de,Antwort übermitteln
sottocategoria,de,Unterkategorie
Nome della sottocategoria,de,Name der Unterkategorie
Incarico,de,Auftrag
Lista degli ordini,de,Auftrags-Liste
lavori da fare,de,zu erledigende Aufträge
creazione dell&#39;ordine,de,Auftrags-Erstellung
Ordine creato con successo,de,Auftrag erfolgreich erstellt
Creazione dell&#39;ordine non riuscita,de,Auftrags-Erstellung misslungen
ultima ripetizione,de,letztmalige Wiederholung
avanzamento dei compiti,de,Aufgaben Fortschritt
Compito pianificato per,de,Aufgabe geplant für
Selezione dell&#39;ordine,de,Auftrags-Auswahl
Il modulo di formazione � assegnato a tutti i membri del gruppo di esecuzione. o,de,Trainingsmodul ist allen Mitgliedern der ausführenden Gruppe zugewiesen. oder
"Il modulo formativo � aperto a tutta la dirigenza, oppure",de,"Ausbidlungsmodul ist zugänglich für die ganze Leitung, oder"
Il lavoro viene assegnato a tutti i membri del gruppo in esecuzione o,de,Der Auftrag ist allen Mitgliedern der ausführenden Gruppe zugewiesen oder
"L&#39;ordine � aperto a tutta la linea, vero?",de,"Der Auftrag ist zugänglich für die ganze Leitung, oder"
"Il lavoro viene assegnato a tutti i membri del gruppo in esecuzione, o",de,"Der Auftrag ist allen Mitgliedern der ausführenden Gruppe zugewiesen, oder"
"L&#39;ordine � aperto a tutta la linea, vero?",de,"Der Auftrag ist zugänglich für die ganze Leitung, oder"
titolo,de,Titel
tema,de,Thema
Addestramento,en,Training
Modulo di formazione,en,Trainingsmodul
Aggiornato da,de,aktualisiert durch
aggiornato il,de,aktualisiert am
vista per,de,Ansicht für
Bilancio,en,Budget
Si prega di inserire solo numeri,de,Bitte nur Zahlen eingeben
Riassegna l&#39;elenco dei lavori,de,Auftrags-Liste neu zuweisen
Efficiente,no,Effektiv
Nessun rischio trovato,de,Kein Risiko gefunden
Nessun modulo di formazione trovato,de,Kein Trainingsmodul gefunden
Scarica rapporto,de,Bericht herunterladen
L&#39;elenco degli ordini � in fase di creazione,de,Auftrags-Liste wird gerade erstellt
Scarica elenco ordini,de,Auftrags-Liste herunterladen
Generazione dell&#39;elenco degli ordini non riuscita,de,Generierung der Auftrags-Liste fehlgeschlagen
un amministratore,de,ein Admin
ordine di aggiornamento,de,Auftrag aktualisieren
Modifica ordine,de,Auftrag editieren
Riferimento attivit�,de,Aufgaben-Referenz
Erf�llungsgrad,en,Erfüllungsgrad
öffnen,en,öffnen
rischio,de,Risiko
fallig,ca,fällig
informazione,de,Informationen
Bilancio,en,Budget
Attiva attivit�,de,Aufgabe aktivieren
disabilitare l&#39;attivit�,de,Aufgabe inaktivieren
Modifica attivit�,de,Aufgabe editieren
Dettagli attivit�,de,Aufgaben-Details
Misurare,de,Massnahme
