translatedText,detectedSourceLanguage,input
Erreur lors du téléchargement du fichier,de,Fehler beim Hochladen der Datei
Nouveau dossier,de,Neuer Ordner
Dossier créé avec succès,de,Ornder erfolgreich erstellt
La création du dossier a échoué. Veuillez réessayer plus tard.,de,Die Erstellung des Ordners ist fehlgeschlagen. Versuchen Sie es spÃ¤ter noch einmal.
Renommer,de,Umbenennen
Renommer,de,Umbenennen
fichier partagé,de,freigegebene Datei
renommé avec succès,de,erfolgreich umbenannt
supprimé avec succès,de,erfolgreich entfernt
Erreur lors du téléchargement du fichier,de,Fehler beim Hertunterladen der Datei
Quelque chose s&#39;est mal passé. Veuillez réessayer,de,Etwas hat nicht geklappt. Bitte nochmals versuchen
Organisation,fr,Organisation
Veuillez sélectionner l&#39;organisation à laquelle vous souhaitez être affecté,de,"Bitte wÃ¤hlen Sie die Organisation, der Sie zuweisen mÃ¶chten"
"Télécharger, gérer et partager des documents.",de,"Dokumente hochladen, verwalten und freigeben."
"Télécharger, gérer, partager des documents",de,"Dokumente hochladen, verwalten, freigeben"
dossier,de,Datei
Veuillez donner un nom à votre dossier,de,Bitte geben Sie Ihrem Ordner einen Namen
supprimé avec succès,de,erfolgreich entfernt
renommé avec succès,de,erfolgreich umbenannt
Aucun fichier,de,Keine Dateien
maximale DateigrÃ¶ÃŸe Ã¼berschritten,fr,maximale DateigrÃ¶ÃŸe Ã¼berschritten
Le type de fichier n&#39;est pas pris en charge,de,Dateityp wird nicht unterstÃ¼tzt
sélectionner l&#39;organisation,de,Organisation auswÃ¤hlen
sélectionner l&#39;organisation,de,Organisation auswÃ¤hlen
sélectionner les membres,de,Mitglieder auswÃ¤hlen
Aucun fichier ou dossier sélectionné,de,Keine Datei oder kein Ordner ausgewÃ¤hlt
Assigné à,de,zugewiesen an
Voir les détails,de,Details anzeigen
dossier,de,Datei
Infos,fr,Infos
créé par,de,erstellt von
utilisateurs autorisés,de,berechtigte Benutzer
Gestion d&#39;appareils,de,GerÃ¤te-Bewirtschaftung
Rechercher par emplacement ou appareil,de,Suche nach Standort oder GerÃ¤t
Filtre,en,Filter
Ajouter des gestions d&#39;appareils et d&#39;emplacements,de,"HinzufÃ¼gen, Verwaltungen von GerÃ¤ten und Standorten"
Mettre à jour les appareils,de,GerÃ¤te aktualisieren
Ajouter un appareil,is,GerÃ¤t hinzufÃ¼gen
Ajouter un emplacement,de,Standort hinzufÃ¼gen
Emplacements,de,Standorte
Veuillez sélectionner l&#39;emplacement pour voir la liste des appareils,de,"Bitte wÃ¤hlen Sie den Standort aus, um die GerÃ¤teliste zu sehen"
Dispositifs,is,GerÃ¤te
Affiche tous les appareils de l&#39;emplacement sélectionné,de,Zeigt alle GerÃ¤te des ausgewÃ¤hlten Standortes
Nom,en,Name
ajouter plus,de,weitere hinzufÃ¼gen
Jeter,de,verwerfen
hinzufügen,en,hinzufÃ¼gen
Ajouter un appareil,is,GerÃ¤t hinzufÃ¼gen
Mettre à jour les appareils,de,GerÃ¤te aktualisieren
Veuillez entrer les informations nécessaires pour ajouter l&#39;appareil,de,Bitte die notwendigen Informationen fÃ¼r das HinzufÃ¼gen des GerÃ¤tes eingeben
Nom de la localisation,de,Name des Standorts
Catégorie,de,Kategorie
sous-catégorie,de,Unter-Kategorie
thème,de,Thema
Fabricant,de,Hersteller
Informations Complémentaires,de,zusÃ¤tzliche Informationen
Veuillez ajouter les champs obligatoires pour cet appareil,de,Bitte fÃ¼gen Sie die erforderlichen Felder fÃ¼r dieses GerÃ¤t hinzu
champ supplémentaire,de,zusÃ¤tzliches Feld
Titre,de,Titel
la description,de,Beschreibung
Ajouter un autre champ,de,Ein weiteres Feld hinzufÃ¼gen
Veuillez sélectionner la date d&#39;installation,de,Bitte wÃ¤hlen Sie das Installationsdatum
Date,de,Datum
détails du contact,de,Kontaktdaten
Contact pour l&#39;entretien,de,Kontakt fÃ¼r Wartung
Adresse e-mail,da,E-Mail Adresse
Téléphoner,tr,Telefon
Remarques,de,Bemerkungen
Organisation,fr,Organisation
Mettre à jour,de,aktualisieren
créé sur,de,erstellt am
Des détails,en,Details
maintenance,de,Wartung
Eigentümer,en,EigentÃ¼mer
Emplacement,de,Standort
date de mise en place,de,Datum der Installation
Dernier entretien,de,Letzte Wartung
Prochain entretien,de,NÃ¤chste Wartung
Ajouter le fichier,de,Datei hinzufÃ¼gen
image,de,Bild
pas d&#39;entretien prévu,de,keine Wartung geplant
Aucune maintenance n&#39;est prévue pour cet appareil.,de,FÃ¼r dieses GerÃ¤te ist noch keine Wartung vorgesehen.
planifier l&#39;entretien,de,Wartung planen
Veuillez fournir les informations nécessaires pour mettre à jour la maintenance,de,"Bitte geben Sie die notwendigen Informationen an, um die Wartung zu aktualisieren"
rendez-vous d&#39;entretien,de,Wartungstermin
responsable,de,Verantwortliche Person
affiche tous les entretiens programmés,de,zeigt alle geplanten Wartungen
Responsable,de,Verantwortlich
Enregistrer sur ordinateur,de,Speichern
Aucun appareil trouvé pour cet emplacement,de,Keine GerÃ¤te fÃ¼r diesen Standort gefunden
responsable,de,Verantwortliche Person
Affiche toutes les personnes responsables de la maintenance,de,Zeigt alle fÃ¼r die Wartung verantwortlichen Personen
fournisseur,de,Lieferant
numéro de série,de,Seriennummer
date d&#39;achat,de,Kaufdatum
Et,fi,Ja
non,de,Nein
la société,de,Unternehmen
Personne de contact,sv,Kontaktperson
Organisation,fr,Organisation
marque comme Terminé,de,als erledigt markieren
Veuillez marquer la maintenance comme terminée une fois qu&#39;elle est terminée,de,"Bitte markieren Sie die Wartung als abgeschlossen, sobald sie abgeschlossen ist"
Détails d&#39;entretien,de,Details zur Wartung
Date prévue,de,Geplantes Datum
Date de soumission,de,Ãœbermittlungsdatum
Aucun document ajouté pour le moment,de,Noch keine Dokumente hinzugefÃ¼gt
Documents,de,Dokumente
Date de commission,de,Datum der Inbetriebsetzung
Appliquer des filtres,de,Filter anwenden
Avorter,de,Abbrechen
Télécharger le rapport,de,Bericht herunterladen
Préparation d&#39;un rapport de liste d&#39;équipements en cours,de,Erstellung eines AusrÃ¼stungslistenberichts in Arbeit
Télécharger le rapport de liste d&#39;équipement,de,Bericht zur AusrÃ¼stungsliste herunterladen
Échec de la création d&#39;un rapport de liste d&#39;équipements,de,Erstellung eines AusrÃ¼stungslistenberichts fehlgeschlagen
copie,de,kopieren
Nom de l&#39;appareil,is,GerÃ¤tename
éditer,de,bearbeiten
löschen,en,lÃ¶schen
Informations Complémentaires,de,zusÃ¤tzliche Informationen
Catégorie,de,Kategorie
Personne de contact,sv,Kontaktperson
Date,de,Datum
E-mail,it,E-Mail
Dernier entretien,de,Letzte Wartung
Statut,en,Status
Statut,en,Status
Emplacement,de,Standort
maintenance,de,Wartung
entretien par,de,Wartung durch
Fabricant,de,Hersteller
Nom,en,Name
Prochain entretien,de,NÃ¤chste Wartung
Organisation,fr,Organisation
Téléphoner,tr,Telefon
mise en service,de,Inbetriebssetzung
date d&#39;achat,de,Kaufdatum
Remarques,de,Bemerkungen
nom du rapport,de,Berichtsname
numéro de série,de,Seriennummer
sous-catégorie,de,Unterkategorie
fournisseur,de,Lieferant
en attendant,ca,pendent
Fini,de,erledigt
Créé,de,Erstellt
dernière mise à jour,de,letzte Aktualisierung
Module,en,Module
Créer et gérer des modules,de,Module erstellen und verwalten
modules de recherche,de,Module suchen
"Rechercher des modules par nom, sujet et objectif",de,"Suche Module nach Namen, Thema und Zweck"
Filtre,en,Filter
Module hinzufÃ¼gen,ro,Modul hinzufÃ¼gen
Nom,en,Name
thème,de,Thema
but,de,Zweck
créé sur,de,erstellt am
Jeter,de,verwerfen
sauver,de,speichern
enregistrer le module,de,Modul speichern
Construisez votre module,de,Erstellen Sie Ihr Modul
but du module,de,Zweck des Moduls
sous-groupe,de,Untergruppe
qualification,de,Qualifizierung
Veuillez déterminer le degré de réalisation,de,Bitten bestimmen Sie den ErfÃ¼llungsgrad
question,de,Frage
Type de question,sv,Fragetyp
la description,de,Beschreibung
Légende (à gauche),de,Beschriftung (links)
légende (à droite),de,Beschriftung (rechts)
Texte de réponse court,de,Kurzer Antworttext
marquer la bonne réponse,de,richtige Antwort markieren
Option hinzufügen,en,Option hinzufÃ¼gen
groupe principal,de,Hauptgruppe
depuis,de,von
Voulez-vous vraiment supprimer ?,de,Wollen Sie wirklich lÃ¶schen?
Et,fi,Ja
non,de,Nein
module de mise à jour,de,Modul aktualisieren
Mettez à jour votre module,de,Aktualisieren Sie Ihr Modul
Nombre maximal de fichiers,de,Maximale Anzahl von Dateien
maximale DateigrÃ¶sse,fr,maximale DateigrÃ¶sse
formats de fichiers autorisés,de,erlaubte Dateiformate
Ajouter le fichier,de,Datei hinzufÃ¼gen
Veuillez d&#39;abord sélectionner l&#39;objectif,de,Bitte wÃ¤hlen Sie zunÃ¤chst den Zweck
avorter,de,abbrechen
Appliquer des filtres,de,Filter anwenden
Catégorie,de,Kategorie
Nom de catégorie,de,Name der Kategorie
Nom de la sous-catégorie,de,Name der Unterkategorie
niveau catégorie,de,Kategorie-Ebene
sous-catégorie,de,Unter-Kategorie
Organisation,fr,Organisation
jusqu&#39;à,de,bis
Organisation,fr,Organisation
Gründe,en,GrÃ¼nde
Activation du compte réussie,de,Konto-Aktivierung erfolgreich
Cliquez ci-dessous pour vous connecter,de,unten Klicken um einzulogen
Connexion,en,Login
Activation expirée,de,Aktivierung abgelaufen
reconnectez-vous,de,nocheinmal einloggen
Entrer le mot de passe,de,Passwort eingeben
le mot de passe,de,Passwort
"Le mot de passe doit comporter au moins 6 caractères. Doit contenir une lettre majuscule, une lettre minuscule, un caractère spécial et un chiffre",de,"Das Passwort muss mindestens 6 Zeichen lang sein. Muss einen Grossbuchstaben, einen Kleinbuchstaben, ein Sonderzeichen und eine Ziffer enthalten"
Confirmez le mot de passe,de,Passwort bestÃ¤tigen
entrer le même mot de passe,de,das gleiche Passowrt eingeben
Activer,de,aktiveren
APP_PLATFORM_LOGIN_CENTER.TYPE_OPTION_MESSAGE,en,APP_PLATFORM_LOGIN_CENTER.TYPE_OPTION_MESSAGE
Veuillez vous connecter à votre compte,de,Bitte loggen Sie sich in Ihr Konto ein
Accueil chaleureux!,de,Herzlich willkommen!
APP_PLATFORM_LOGIN_CENTER.TYPE_SIGNUP,en,APP_PLATFORM_LOGIN_CENTER.TYPE_SIGNUP
APP_PLATFORM_LOGIN_CENTER.EXTERNAL_LOGIN_OPTION,en,APP_PLATFORM_LOGIN_CENTER.EXTERNAL_LOGIN_OPTION
APP_PLATFORM_LOGIN_CENTER.LOGIN_OPTION,en,APP_PLATFORM_LOGIN_CENTER.LOGIN_OPTION
Langue,de,Sprache
Adresse e-mail,da,E-Mail Adresse
APP_PLATFORM_LOGIN_CENTER.EMAIL_INVALID,en,APP_PLATFORM_LOGIN_CENTER.EMAIL_INVALID
L&#39;e-mail et/ou le mot de passe ne correspondent pas,de,E-Mail und/oder Passwort stimmen nicht Ã¼berein
Marques,nl,merken
Mot de passe oublié,de,Passwort vergessen
APP_PLATFORM_LOGIN_CENTER.EXTERNAL_LOGIN,en,APP_PLATFORM_LOGIN_CENTER.EXTERNAL_LOGIN
pas chste,pt,nÃ¤chste
Le code à 2 facteurs envoie une confirmation,de,2 Faktor-Code schickt BestÃ¤tigung
code d&#39;activation,de,Aktivierungscode
Le code d&#39;activation que vous avez entré est incorrect,de,Der eingegebene Aktivierungscode ist nicht korrekt
avoir des problèmes,de,haben Probleme
envoyer à nouveau,de,nochmals senden
vérifier,de,verifizieren
Le captcha ne correspond pas,de,Captcha passt nicht
APP_PLATFORM_LOGIN_CENTER.FIRSTNAME,en,APP_PLATFORM_LOGIN_CENTER.FIRSTNAME
APP_PLATFORM_LOGIN_CENTER.LASTNAME,en,APP_PLATFORM_LOGIN_CENTER.LASTNAME
APP_PLATFORM_LOGIN_CENTER.USER_CREATE_FROM_PERSON_SELF_ACTIVATE,en,APP_PLATFORM_LOGIN_CENTER.USER_CREATE_FROM_PERSON_SELF_ACTIVATE
APP_PLATFORM_LOGIN_CENTER.FOLLOW_THE_LINK_IN_EMAIL,en,APP_PLATFORM_LOGIN_CENTER.FOLLOW_THE_LINK_IN_EMAIL
APP_PLATFORM_LOGIN_CENTER.CONTINUER,en,APP_PLATFORM_LOGIN_CENTER.CONTINUE
APP_PLATFORM_LOGIN_CENTER.NOT_ALLOWED_TO_SELF_SIGNUP_IN_THIS_SYSTEM,en,APP_PLATFORM_LOGIN_CENTER.NOT_ALLOWED_TO_SELF_SIGNUP_IN_THIS_SYSTEM
APP_PLATFORM_LOGIN_CENTER.USER_CREATE_FROM_PERSON_SUCCESS,en,APP_PLATFORM_LOGIN_CENTER.USER_CREATE_FROM_PERSON_SUCCESS
APP_PLATFORM_LOGIN_CENTER.GUEST_USER_CREATE_SUCCESS,en,APP_PLATFORM_LOGIN_CENTER.GUEST_USER_CREATE_SUCCESS
Email non trouvé,de,E-Mail nicht gefunden
Réinitialiser le mot de passe,de,Passwort zurÃ¼cksetzen
Changement de mot de passe réussi,de,PasswortÃ¤nderung erfolgreich
Détail de la demande de changement de mot de passe,de,"PasswortÃ¤nderungsanfrage, Detail"
Sélectionnez des profils,de,Profile auswÃ¤hlen
définir le mot de passe,de,Passwort setzen
Zurücksetzen,en,ZurÃ¼cksetzen
connecté,de,eingeloggt
Réinitialisation du mot de passe réussie,de,RÃ¼cksetzung des Passwortes erfolgreich
Veuillez vous connecter à votre compte.,de,Bitte loggen Sie sich in Ihr Konto ein.
Bienvenue sur RiQS,de,Willkommen bei RiQS
Inscrit,de,Angemeldet
D&#39;accord,de,Einverstanden
en désaccord,de,nicht einverstanden
Je suis d&#39;accord,de,einverstanden
J&#39;accepte les conditions générales,de,Ich akzeptiere die Allgemeinen GeschÃ¤ftsbedingungen
Captcha,en,Captcha
Créer et gérer des commandes,de,Erstellen und Verwalten von AuftrÃ¤gen
Statut,en,Status
actif,de,aktiv
ajouter plus,de,weitere hinzufÃ¼gen
ajouter une autre commande,de,weiteren Auftrag hinzufÃ¼gen
Tout,de,Alle
fait d&#39;une manière différente,de,auf anderem Weg erledigt
Appliquer des filtres,de,Filter anwenden
autoriser,de,genehmigen
a approuvé,de,genehmigt
Achèvement de la tâche confirmé,de,Aufgabenerledigung bestÃ¤tigt
attribué le,de,zugewiesen am
assigner la commande,de,Auftrag zuweisen
Attribuer la commande à,de,Auftrag zuweisen an
éviter les week-ends,de,Wochenenden vermeiden
Avorter,de,Abbrechen
Catégorie,de,Kategorie
Nom de catégorie,de,Kategoriename
causes,de,Ursachen
Organisation,fr,Organisation
Remarques,de,Bemerkungen
Fini,de,erledigt
Statut d&#39;Eredigungs,no,Ereldigungsstatus
Créer et attribuer une commande,de,Auftrag erstellen und zuweisen
Groupe exécutif,de,AusfÃ¼hrende Gruppe
Document,mt,Dokument
responsable,de,Verantwortliche Person
créer,de,erstellen
degré de réalisation requis,de,geforderter ErfÃ¼llungsgrad
Incidence/Risque,de,Auswirkungen /Risiko
certains employés,de,bestimmte Mitarbeiter
Des détails,en,Details
Jeter,de,verwerfen
Fini,de,erledigt
Voulez-vous créer une autre commande avec les mêmes paramètres ?,de,Wollen Sie einen weiteren Auftrag mit den gleichen Einstellungen anlegen?
Fälligkeit,pt,FÃ¤lligkeit
Notification par e-mail,de,E-Mail-Benachrichtigung
date de fin,de,Enddatum
Gestion d&#39;appareils,de,GerÃ¤te-Bewirtschaftung
Événement / évolution des facteurs environnementaux,de,Ereignis / Entwicklung von Umweltfaktoren
Filtre,en,Filter
Général,de,Allgemein
Ta Réponse,de,Ihre Antwort
Veuillez entrer les informations nécessaires de la commande,de,Bitte geben Sie die notwendigen Informationen des Auftrages ein
inactif,sv,inaktiv
en cours,de,in Arbeit
Dernière mise à jour,de,Zuletzt aktualisiert
Envoyez un e-mail si ce n&#39;est pas fait,de,"E-Mail, wenn nicht erledigt"
Créer et gérer des commandes,de,AuftrÃ¤ge erstellen und verwalten
Marquer comme tâche récurrente.,de,Als wiederkehrende Aufgabe markieren.
mesures mises en place,de,umgesetzte Massnahmen
membres,de,Mitglieder
"s&#39;il tombe le week-end, déplacez-le au jour ouvrable suivant",de,"wenn auf Wochenende fÃ¤llt, auf den nÃ¤chsten Arbeitstag verschieben"
Reporter les commandes non terminées au lendemain,de,Nicht erledigte AuftrÃ¤ge auf den nÃ¤chsten Tag verschieben
pas chste,pt,nÃ¤chste
prochaine commande,de,nÃ¤chster Auftrag
Toujours pas de réponse,de,Noch keine Antwort
Aucune commande ouverte trouvée,de,Keine offenen AuftrÃ¤ge gefunden
Aufträge,zh-CN,AuftrÃ¤ge
Ãœbersicht,en,Ãœbersicht
en attendant,ca,pendent
pourcentage,de,Prozentsatz
Veuillez définir le jour du mois pour la répétition,de,Bitte definieren Sie den Tag des Monats fÃ¼r die Wiederholung
Veuillez choisir un horaire,de,Bitte wÃ¤hlen Sie einen Zeitplan
Merci de préciser comment vous souhaitez être informé de cette commande,de,"Bitte bestimmen Sie, wie Sie bei diesem Auftrag informiert werden mÃ¶chten"
Veuillez sélectionner la catégorie,de,Bitte wÃ¤hlen Sie die Kategorie aus
Veuillez sélectionner la catégorie de la commande,de,Bitte wÃ¤hlen Sie die Kategorie des Auftrages aus
Veuillez sélectionner l&#39;organisation,de,Bitte wÃ¤hlen Sie die Organisation aus
Veuillez sélectionner l&#39;organisation,de,Bitte wÃ¤hlen Sie die Organisation aus
Déterminer quand la commande doit être complétée,de,"Bestimmen Sie, bis wann der Auftrag erledigt werden soll"
Veuillez indiquer quand cette commande doit être répétée,de,"Bitte geben Sie an, wann dieser Auftrag wiederholt werden soll"
Veuillez sélectionner la liste des tâches du développeur,de,Bitte wÃ¤hlen Sie die Aufgabenliste aus dem Entwickler aus
Veuillez sélectionner le sujet,de,Bitte wÃ¤hlen Sie das Thema aus
Commande précédente,de,vorheriger Auftrag
réaffecter,de,neu zuweisen
réaffecté,de,neu zugewiesen
Commande réaffectée,de,Auftrag neu zugewiesen
répétition,de,Wiederholung
référence,de,Referenz
Remarques,de,Bemerkungen
répète tout,de,Wiederholung alle
répéter sur,de,Wiederholen am
répétition par jour,de,Wiederholung am Tag
Réinitialiser par défaut,de,Auf Standard zurÃ¼cksetzen
répondre,de,Antwort
réponses,de,Antworten
Responsable,de,Verantwortlich
Gestion des risques,da,Risiko-Management
Planification de la commande attribuée en cours,de,Planung des zugewiesenen Auftrages in Bearbeitung
recherche d&#39;emploi,de,Auftrag suchen
Date de début,sv,Startdatum
Statut,en,Status
übermitteln,en,Ã¼bermitteln
übermittelt,en,Ã¼bermittelt
Soumettre la réponse,de,Antwort Ã¼bermitteln
sous-catégorie,de,Unterkategorie
Nom de la sous-catégorie,de,Name der Unterkategorie
mission,de,Auftrag
Liste de commandes,de,Auftrags-Liste
travaux à faire,de,zu erledigende AuftrÃ¤ge
création de commande,de,Auftrags-Erstellung
Commande créée avec succès,de,Auftrag erfolgreich erstellt
La création de la commande a échoué,de,Auftrags-Erstellung misslungen
dernière répétition,de,letztmalige Wiederholung
progression des tâches,de,Aufgaben Fortschritt
Tâche prévue pour,de,Aufgabe geplant fÃ¼r
Sélection de commande,de,Auftrags-Auswahl
Le module de formation est attribué à tous les membres du groupe d&#39;exécution. ou alors,de,Trainingsmodul ist allen Mitgliedern der ausfÃ¼hrenden Gruppe zugewiesen. oder
"Le module de formation est ouvert à l&#39;ensemble de la direction, ou",de,"Ausbidlungsmodul ist zugÃ¤nglich fÃ¼r die ganze Leitung, oder"
Le travail est attribué à tous les membres du groupe d&#39;exécution ou,de,Der Auftrag ist allen Mitgliedern der ausfÃ¼hrenden Gruppe zugewiesen oder
